AGE;GENDER;STATE;EDUC;MARRIED;JOB;INC;PEOPLE;PINC;CEREAL;ROOT;VEGAN;FRUITS;MEAT;EGGS;MILK;OIL;SUGAR;WELL;CWELL;PWELL;ORG;CORG;PORG;GARDEN;CGARDEN;PGARDEN;VEG;CVEG;PVEG;GARDV1;GARDV2;GARDV3;GARDV4;GARDV5;NGARD;FGARD;INDEXV;INDEXN;VEGROOT;MEETEGG;DEPRATIO
71.0;0.0;CE;22.0;0.0;0.0;19000.0;4.0;2.0;7.0;3.0;6.0;5.0;5.0;6.0;7.0;7.0;5.0;1.0;4.0;3.0;3.0;4.0;2.0;3.0;3.0;2.0;3.0;2.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;101.0;3;7.0;7.0;0.5
28.0;1.0;BA;16.0;1.0;1.0;4500.0;2.0;2.0;7.0;4.0;6.0;5.0;4.0;7.0;7.0;4.0;7.0;2.0;3.0;2.0;3.0;4.0;2.0;3.0;3.0;5.0;4.0;2.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;89.5;3;7.0;7.0;0.0
31.0;1.0;PE;18.0;0.0;1.0;4500.0;2.0;2.0;7.0;5.0;7.0;5.0;6.0;4.0;6.0;6.0;6.0;3.0;4.0;4.0;5.0;5.0;3.0;5.0;5.0;3.0;5.0;3.0;5.0;1.0;1.0;1.0;0.0;1.0;0.0;4.0;102.5;3;7.0;7.0;0.0
28.0;1.0;SP;16.0;1.0;1.0;10000.0;3.0;2.0;7.0;5.0;7.0;3.0;0.0;7.0;0.0;5.0;7.0;7.0;4.0;3.0;3.0;4.0;1.0;1.0;4.0;1.0;5.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;93.0;3;7.0;7.0;0.3333333333333333
24.0;1.0;PB;14.0;1.0;0.0;10000.0;4.0;1.0;7.0;3.0;3.0;7.0;3.0;5.0;4.0;5.0;3.0;3.0;2.0;3.0;3.0;4.0;3.0;2.0;2.0;4.0;4.0;3.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;84.0;3;7.0;7.0;0.75
69.0;1.0;PB;16.0;1.0;0.0;10000.0;1.0;1.0;7.0;7.0;6.0;6.0;6.0;6.0;3.0;7.0;7.0;7.0;4.0;4.0;5.0;4.0;3.0;4.0;4.0;4.0;4.0;3.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;107.0;3;7.0;7.0;0.0
46.0;1.0;SP;16.0;0.0;1.0;41250.0;4.0;3.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;4.0;3.0;3.0;4.0;3.0;3.0;4.0;2.0;4.0;2.0;3.0;1.0;0.0;0.0;1.0;1.0;0.0;3.0;112.0;3;7.0;7.0;0.25
48.0;1.0;PE;16.0;0.0;1.0;13500.0;4.0;1.0;0.0;6.0;1.0;7.0;7.0;7.0;7.0;3.0;4.0;2.0;1.0;2.0;3.0;4.0;2.0;3.0;4.0;2.0;4.0;2.0;3.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;72.0;3;6.0;7.0;0.75
21.0;1.0;PE;12.0;1.0;0.0;4500.0;4.0;1.0;7.0;5.0;5.0;4.0;6.0;7.0;5.0;7.0;7.0;7.0;4.0;2.0;3.0;4.0;2.0;4.0;3.0;3.0;4.0;2.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;102.0;3;7.0;7.0;0.75
20.0;0.0;PE;14.0;1.0;0.0;27500.0;5.0;2.0;7.0;4.0;6.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;4.0;1.0;1.0;4.0;2.0;3.0;4.0;4.0;3.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;109.0;3;7.0;7.0;0.6
48.0;1.0;PE;16.0;0.0;1.0;41250.0;6.0;5.0;7.0;7.0;5.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;3.0;2.0;5.0;4.0;2.0;3.0;3.0;3.0;4.0;2.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;106.0;3;7.0;7.0;0.1666666666666666
32.0;1.0;RS;18.0;1.0;1.0;8000.0;2.0;2.0;7.0;7.0;7.0;5.0;7.0;5.0;7.0;7.0;7.0;5.0;4.0;4.0;4.0;5.0;3.0;4.0;5.0;3.0;5.0;3.0;3.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;109.0;3;7.0;7.0;0.0
60.0;1.0;PE;16.0;0.0;1.0;8000.0;2.0;2.0;7.0;7.0;5.0;6.0;7.0;6.0;7.0;6.0;3.0;5.0;4.0;4.0;5.0;4.0;4.0;5.0;3.0;3.0;2.0;2.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;98.0;3;7.0;7.0;0.0
73.0;1.0;PE;12.0;0.0;1.0;2500.0;2.0;1.0;4.0;2.0;5.0;3.0;3.0;4.0;4.0;4.0;4.0;7.0;2.0;2.0;4.0;2.0;3.0;3.0;3.0;3.0;1.0;2.0;3.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;82.5;3;6.0;7.0;0.5
73.0;1.0;PE;12.0;0.0;1.0;2500.0;2.0;1.0;4.0;2.0;5.0;3.0;3.0;4.0;4.0;4.0;4.0;7.0;2.0;2.0;4.0;2.0;3.0;3.0;3.0;3.0;1.0;2.0;3.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;82.5;3;6.0;7.0;0.5
23.0;1.0;PE;14.0;1.0;0.0;4500.0;2.0;1.0;4.0;2.0;1.0;0.0;3.0;2.0;4.0;5.0;1.0;3.0;3.0;3.0;4.0;3.0;2.0;4.0;3.0;1.0;5.0;4.0;5.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;64.0;3;6.0;6.0;0.5
64.0;1.0;PE;22.0;1.0;0.0;19000.0;1.0;1.0;7.0;3.0;7.0;7.0;7.0;6.0;4.0;7.0;7.0;3.0;4.0;4.0;5.0;4.0;4.0;4.0;3.0;2.0;4.0;3.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;110.0;3;7.0;7.0;0.0
24.0;0.0;PE;14.0;1.0;1.0;4500.0;1.0;1.0;7.0;7.0;2.0;6.0;5.0;7.0;6.0;7.0;4.0;7.0;3.0;4.0;4.0;4.0;3.0;5.0;5.0;2.0;5.0;2.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;92.5;3;7.0;7.0;0.0
25.0;1.0;PE;14.0;1.0;1.0;6500.0;2.0;2.0;4.0;6.0;3.0;3.0;2.0;7.0;4.0;7.0;7.0;7.0;3.0;2.0;2.0;3.0;2.0;2.0;1.0;4.0;4.0;2.0;4.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;91.0;3;7.0;7.0;0.0
49.0;1.0;PE;16.0;1.0;1.0;41250.0;2.0;2.0;7.0;3.0;4.0;7.0;7.0;6.0;5.0;7.0;5.0;1.0;3.0;3.0;4.0;4.0;3.0;4.0;1.0;2.0;5.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;99.0;3;7.0;7.0;0.0
29.0;1.0;RJ;16.0;0.0;0.0;2500.0;2.0;1.0;7.0;4.0;5.0;7.0;0.0;5.0;2.0;5.0;7.0;7.0;4.0;1.0;3.0;5.0;1.0;1.0;5.0;3.0;5.0;2.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;91.0;3;7.0;7.0;0.5
57.0;0.0;CE;5.0;0.0;1.0;1500.0;4.0;2.0;6.0;1.0;3.0;7.0;6.0;7.0;4.0;4.0;7.0;3.0;4.0;2.0;3.0;5.0;3.0;4.0;4.0;4.0;4.0;2.0;3.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;85.0;3;7.0;7.0;0.5
26.0;1.0;PE;14.0;1.0;1.0;1500.0;1.0;0.0;7.0;4.0;5.0;5.0;7.0;7.0;7.0;7.0;7.0;7.0;1.0;1.0;4.0;4.0;3.0;4.0;4.0;4.0;4.0;2.0;4.0;1.0;1.0;0.0;1.0;1.0;0.0;4.0;104.0;3;7.0;7.0;1.0
55.0;1.0;PE;12.0;0.0;1.0;4500.0;2.0;2.0;2.0;6.0;3.0;5.0;7.0;6.0;7.0;3.0;7.0;0.0;2.0;4.0;4.0;3.0;2.0;3.0;2.0;4.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;78.5;3;7.0;7.0;0.0
26.0;1.0;PE;12.0;1.0;1.0;1500.0;4.0;2.0;7.0;1.0;7.0;6.0;4.0;6.0;5.0;4.0;6.0;2.0;2.0;3.0;5.0;5.0;3.0;4.0;3.0;2.0;3.0;1.0;2.0;1.0;0.0;0.0;1.0;1.0;0.0;3.0;93.0;3;7.0;7.0;0.5
46.0;1.0;PE;16.0;0.0;1.0;2500.0;3.0;2.0;7.0;5.0;6.0;7.0;7.0;7.0;0.0;7.0;3.0;7.0;3.0;3.0;4.0;3.0;3.0;4.0;3.0;4.0;5.0;4.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;107.0;3;7.0;7.0;0.3333333333333333
38.0;1.0;PE;16.0;0.0;1.0;1500.0;4.0;1.0;7.0;4.0;5.0;3.0;6.0;7.0;5.0;6.0;7.0;6.0;2.0;3.0;3.0;3.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;96.5;3;7.0;7.0;0.75
62.0;1.0;RJ;16.0;0.0;0.0;19000.0;2.0;2.0;7.0;7.0;7.0;7.0;7.0;7.0;4.0;4.0;4.0;0.0;5.0;4.0;4.0;5.0;4.0;4.0;3.0;3.0;5.0;2.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;95.0;3;7.0;7.0;0.0
40.0;1.0;PE;16.0;0.0;1.0;4500.0;3.0;2.0;5.0;5.0;5.0;6.0;1.0;6.0;2.0;6.0;4.0;7.0;3.0;2.0;5.0;5.0;3.0;5.0;4.0;3.0;5.0;2.0;2.0;1.0;1.0;0.0;1.0;1.0;0.0;4.0;93.5;3;7.0;7.0;0.3333333333333333
30.0;1.0;PE;18.0;1.0;1.0;4500.0;3.0;2.0;7.0;3.0;2.0;1.0;1.0;7.0;5.0;6.0;7.0;7.0;2.0;2.0;2.0;4.0;2.0;4.0;4.0;4.0;4.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;81.0;3;7.0;7.0;0.3333333333333333
20.0;1.0;PE;12.0;1.0;0.0;19000.0;3.0;1.0;7.0;5.0;5.0;7.0;7.0;7.0;6.0;7.0;7.0;3.0;3.0;2.0;3.0;4.0;3.0;5.0;1.0;2.0;3.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;4.0;104.0;3;7.0;7.0;0.6666666666666666
26.0;1.0;PE;14.0;1.0;1.0;6500.0;5.0;2.0;6.0;4.0;5.0;7.0;6.0;7.0;5.0;6.0;5.0;7.0;2.0;2.0;4.0;2.0;2.0;4.0;2.0;3.0;2.0;2.0;2.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;100.0;3;7.0;7.0;0.6
37.0;1.0;PE;16.0;0.0;1.0;6500.0;4.0;2.0;7.0;4.0;6.0;5.0;5.0;7.0;7.0;7.0;6.0;7.0;1.0;1.0;2.0;4.0;2.0;4.0;4.0;2.0;3.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;104.5;3;7.0;7.0;0.5
50.0;1.0;PE;16.0;1.0;1.0;19000.0;3.0;1.0;7.0;0.0;3.0;2.0;2.0;5.0;0.0;6.0;0.0;4.0;4.0;1.0;1.0;5.0;2.0;1.0;5.0;1.0;5.0;3.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;73.0;3;7.0;5.0;0.6666666666666666
49.0;1.0;RJ;14.0;0.0;1.0;4500.0;3.0;1.0;7.0;2.0;5.0;2.0;2.0;4.0;1.0;3.0;7.0;5.0;5.0;4.0;5.0;5.0;3.0;3.0;5.0;3.0;5.0;3.0;5.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;71.0;3;7.0;5.0;0.6666666666666666
48.0;1.0;RJ;16.0;0.0;0.0;41250.0;3.0;2.0;7.0;7.0;7.0;7.0;7.0;7.0;3.0;7.0;7.0;5.0;2.0;2.0;2.0;5.0;2.0;1.0;5.0;4.0;5.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;111.0;3;7.0;7.0;0.3333333333333333
33.0;1.0;SP;16.0;1.0;1.0;4500.0;2.0;1.0;7.0;4.0;6.0;4.0;4.0;5.0;1.0;7.0;7.0;7.0;2.0;2.0;4.0;1.0;2.0;5.0;5.0;2.0;5.0;1.0;5.0;1.0;1.0;0.0;1.0;1.0;0.0;4.0;99.0;3;7.0;6.0;0.5
62.0;0.0;RJ;18.0;0.0;1.0;41250.0;3.0;2.0;7.0;7.0;7.0;7.0;2.0;7.0;1.0;7.0;7.0;7.0;5.0;1.0;1.0;5.0;1.0;1.0;5.0;4.0;5.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;107.0;3;7.0;7.0;0.3333333333333333
42.0;1.0;PE;22.0;1.0;1.0;6500.0;1.0;0.0;5.0;3.0;5.0;6.0;5.0;2.0;3.0;7.0;5.0;2.0;4.0;5.0;5.0;4.0;3.0;5.0;2.0;3.0;5.0;2.0;4.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;91.5;3;7.0;5.0;1.0
25.0;0.0;PE;16.0;1.0;1.0;2500.0;2.0;2.0;7.0;1.0;4.0;0.0;0.0;7.0;1.0;7.0;7.0;7.0;2.0;1.0;3.0;2.0;1.0;1.0;2.0;1.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;89.0;3;7.0;7.0;0.0
31.0;1.0;PE;18.0;0.0;1.0;8000.0;2.0;2.0;6.0;7.0;4.0;7.0;3.0;6.0;5.0;2.0;5.0;1.0;2.0;2.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0;3.0;1.0;0.0;0.0;1.0;1.0;0.0;3.0;75.0;3;7.0;7.0;0.0
63.0;0.0;RJ;16.0;0.0;1.0;27500.0;3.0;1.0;7.0;6.0;7.0;7.0;3.0;5.0;5.0;5.0;6.0;5.0;2.0;1.0;2.0;4.0;1.0;1.0;2.0;1.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;98.5;3;7.0;7.0;0.6666666666666666
60.0;0.0;RJ;18.0;0.0;1.0;41250.0;3.0;2.0;7.0;0.0;3.0;5.0;7.0;4.0;2.0;7.0;7.0;1.0;5.0;1.0;1.0;5.0;2.0;1.0;5.0;5.0;2.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;91.0;3;7.0;6.0;0.3333333333333333
21.0;1.0;BA;12.0;0.0;1.0;1500.0;2.0;2.0;7.0;7.0;7.0;3.0;7.0;7.0;7.0;7.0;7.0;2.0;5.0;3.0;1.0;5.0;1.0;1.0;5.0;3.0;5.0;2.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;4.0;105.5;3;7.0;7.0;0.0
21.0;0.0;PE;14.0;1.0;1.0;13500.0;4.0;3.0;6.0;3.0;6.0;2.0;4.0;7.0;5.0;6.0;4.0;4.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;94.0;3;7.0;7.0;0.25
27.0;1.0;PE;18.0;1.0;1.0;4500.0;4.0;4.0;7.0;2.0;6.0;3.0;4.0;7.0;1.0;5.0;6.0;7.0;2.0;2.0;5.0;3.0;3.0;4.0;4.0;3.0;4.0;2.0;3.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;93.5;3;7.0;7.0;0.0
30.0;1.0;MS;18.0;0.0;0.0;10000.0;2.0;1.0;7.0;1.0;5.0;7.0;7.0;7.0;7.0;7.0;7.0;1.0;2.0;1.0;3.0;3.0;2.0;3.0;5.0;4.0;3.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;103.0;3;7.0;7.0;0.5
42.0;1.0;PE;12.0;0.0;1.0;1500.0;4.0;1.0;7.0;5.0;4.0;4.0;5.0;7.0;7.0;7.0;7.0;7.0;3.0;3.0;3.0;5.0;4.0;5.0;4.0;4.0;4.0;1.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;98.0;3;7.0;7.0;0.75
48.0;1.0;PE;16.0;0.0;1.0;6500.0;6.0;4.0;5.0;7.0;5.0;6.0;7.0;7.0;7.0;7.0;7.0;2.0;5.0;1.0;4.0;4.0;2.0;4.0;5.0;3.0;5.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;102.5;3;7.0;7.0;0.3333333333333333
58.0;1.0;PE;16.0;0.0;1.0;8000.0;3.0;3.0;7.0;7.0;7.0;4.0;7.0;3.0;7.0;1.0;7.0;1.0;4.0;4.0;5.0;5.0;3.0;5.0;2.0;1.0;5.0;3.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;82.0;3;7.0;7.0;0.0
34.0;0.0;SP;18.0;1.0;1.0;8000.0;1.0;1.0;7.0;7.0;4.0;7.0;7.0;0.0;7.0;7.0;0.0;7.0;5.0;5.0;4.0;4.0;5.0;5.0;4.0;5.0;4.0;3.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;99.5;3;7.0;7.0;0.0
27.0;0.0;PE;18.0;1.0;1.0;2500.0;4.0;3.0;6.0;5.0;5.0;5.0;5.0;7.0;3.0;7.0;7.0;7.0;3.0;3.0;5.0;4.0;4.0;4.0;3.0;4.0;3.0;2.0;3.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;102.0;3;7.0;7.0;0.25
26.0;1.0;PE;14.0;0.0;1.0;19000.0;3.0;2.0;6.0;3.0;2.0;4.0;6.0;7.0;5.0;3.0;4.0;7.0;3.0;1.0;3.0;4.0;3.0;2.0;3.0;1.0;3.0;2.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;75.5;3;7.0;7.0;0.3333333333333333
57.0;1.0;PE;12.0;0.0;1.0;19000.0;3.0;2.0;5.0;5.0;5.0;3.0;7.0;6.0;5.0;5.0;6.0;4.0;3.0;3.0;2.0;4.0;2.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;92.0;3;7.0;7.0;0.3333333333333333
30.0;1.0;PE;16.0;0.0;1.0;6500.0;2.0;2.0;5.0;7.0;1.0;7.0;2.0;7.0;7.0;7.0;7.0;0.0;2.0;2.0;2.0;3.0;3.0;3.0;2.0;1.0;3.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;85.5;3;7.0;7.0;0.0
37.0;1.0;PE;16.0;0.0;1.0;13500.0;4.0;2.0;7.0;4.0;4.0;6.0;4.0;7.0;7.0;5.0;7.0;7.0;3.0;2.0;3.0;4.0;1.0;3.0;4.0;2.0;3.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;91.0;3;7.0;7.0;0.5
56.0;1.0;RJ;22.0;0.0;1.0;13500.0;4.0;4.0;7.0;4.0;7.0;4.0;7.0;6.0;3.0;3.0;6.0;3.0;5.0;3.0;4.0;5.0;4.0;3.0;3.0;3.0;5.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;5.0;90.5;3;7.0;7.0;0.0
45.0;1.0;PE;16.0;0.0;1.0;10000.0;5.0;2.0;7.0;5.0;5.0;4.0;7.0;7.0;7.0;7.0;7.0;4.0;3.0;2.0;3.0;4.0;2.0;3.0;2.0;2.0;2.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;101.5;3;7.0;7.0;0.6
35.0;1.0;PE;22.0;0.0;1.0;13500.0;2.0;2.0;7.0;3.0;5.0;7.0;6.0;7.0;0.0;7.0;3.0;1.0;4.0;3.0;4.0;5.0;2.0;1.0;5.0;5.0;5.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;100.0;3;7.0;7.0;0.0
61.0;1.0;RJ;22.0;0.0;1.0;27500.0;2.0;2.0;7.0;7.0;7.0;7.0;4.0;7.0;5.0;7.0;7.0;2.0;4.0;2.0;2.0;5.0;2.0;4.0;5.0;3.0;5.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;106.5;3;7.0;7.0;0.0
36.0;1.0;PE;16.0;0.0;1.0;13500.0;2.0;2.0;7.0;3.0;3.0;5.0;5.0;7.0;6.0;5.0;5.0;4.0;1.0;1.0;3.0;2.0;2.0;3.0;1.0;1.0;3.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;85.5;3;7.0;7.0;0.0
26.0;1.0;PE;16.0;1.0;1.0;2500.0;2.0;2.0;7.0;4.0;2.0;6.0;7.0;7.0;5.0;6.0;7.0;7.0;1.0;1.0;5.0;4.0;2.0;3.0;4.0;3.0;4.0;2.0;3.0;1.0;1.0;0.0;1.0;1.0;0.0;4.0;92.0;3;7.0;7.0;0.0
19.0;1.0;PE;14.0;1.0;1.0;10000.0;3.0;3.0;6.0;4.0;4.0;6.0;3.0;6.0;5.0;7.0;7.0;5.0;5.0;4.0;3.0;5.0;3.0;4.0;4.0;2.0;5.0;3.0;3.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;97.0;3;7.0;7.0;0.0
27.0;1.0;PE;14.0;0.0;1.0;4500.0;2.0;1.0;7.0;3.0;6.0;6.0;7.0;2.0;7.0;6.0;7.0;7.0;4.0;2.0;3.0;4.0;2.0;3.0;5.0;2.0;4.0;2.0;3.0;1.0;1.0;0.0;1.0;1.0;0.0;4.0;104.0;3;7.0;7.0;0.5
19.0;1.0;PE;14.0;1.0;0.0;4500.0;5.0;4.0;7.0;2.0;4.0;4.0;3.0;2.0;5.0;5.0;7.0;6.0;3.0;4.0;4.0;4.0;3.0;5.0;4.0;2.0;5.0;2.0;3.0;1.0;1.0;0.0;1.0;1.0;0.0;4.0;87.5;3;7.0;7.0;0.2
46.0;0.0;AL;16.0;0.0;1.0;4500.0;4.0;3.0;7.0;3.0;5.0;1.0;2.0;7.0;2.0;3.0;5.0;7.0;3.0;1.0;2.0;2.0;3.0;2.0;4.0;1.0;2.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;78.0;3;7.0;7.0;0.25
21.0;0.0;PE;14.0;1.0;1.0;1500.0;1.0;1.0;7.0;0.0;0.0;5.0;4.0;3.0;7.0;7.0;7.0;0.0;3.0;2.0;4.0;4.0;3.0;3.0;1.0;2.0;5.0;2.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;4.0;82.5;3;7.0;7.0;0.0
48.0;0.0;PE;12.0;0.0;0.0;8000.0;3.0;1.0;7.0;4.0;7.0;5.0;7.0;7.0;5.0;7.0;3.0;3.0;4.0;3.0;3.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;1.0;0.0;0.0;1.0;1.0;0.0;3.0;106.0;3;7.0;7.0;0.6666666666666666
30.0;0.0;PE;16.0;1.0;1.0;13500.0;3.0;2.0;7.0;5.0;7.0;7.0;7.0;5.0;7.0;5.0;7.0;5.0;4.0;2.0;1.0;5.0;2.0;3.0;5.0;5.0;5.0;3.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;103.0;3;7.0;7.0;0.3333333333333333
